,X337,X338,X339,X340,X341,X342,X343,X344,X345,X346,X347,X348,X349,X350,X351,X352,X353,X354,X355,X356,X357,X358,X359,X360
1M,-0.789,-0.8332,-0.7826,-0.779,-0.7746,-0.8286,-0.7976,-0.8108,-0.802,-0.7854,-0.8178,-0.799,-0.7884,-0.8008,-0.7792,-0.7918,-0.7874,-0.7848,-0.7834,-0.7872,-0.7826,-0.78255,-0.8059,-0.80565
2M,-0.7668,-0.8206,-0.7538,-0.7522,-0.7532,-0.7976,-0.7734,-0.7824,-0.7732,-0.76,-0.7856,-0.757,-0.7576,-0.7572,-0.7524,-0.7614,-0.7626,-0.7578,-0.756,-0.7518,-0.7526,-0.7576,-0.773,-0.7632
3M,-0.757,-0.8046,-0.7292,-0.7294,-0.7352,-0.7798,-0.7476,-0.7364,-0.75,-0.73,-0.749,-0.7292,-0.7286,-0.7262,-0.7296,-0.73,-0.7296,-0.73,-0.7256,-0.7262,-0.726,-0.7268,-0.752,-0.7462
6M,-0.6934,-0.7648,-0.658,-0.646,-0.642,-0.7016,-0.663,-0.6528,-0.6574,-0.6436,-0.68,-0.6626,-0.6642,-0.6764,-0.6638,-0.6648,-0.6618,-0.6616,-0.6466,-0.6514,-0.6488,-0.6486,-0.655,-0.645
9M,-0.72545,-0.8199,-0.68775,-0.66425,-0.656,-0.7633,-0.6965,-0.6639,-0.67495,-0.6493,-0.69125,-0.66505,-0.67335,-0.6957,-0.67315,-0.67115,-0.6659,-0.64455,-0.6408,-0.6507,-0.63815,-0.6418,-0.63875,-0.63375
1Y,-0.7575,-0.875,-0.7175,-0.6825,-0.67,-0.825,-0.73,-0.675,-0.6925,-0.655,-0.7025,-0.6675,-0.6825,-0.715,-0.6825,-0.6775,-0.67,-0.6275,-0.635,-0.65,-0.6275,-0.635,-0.6225,-0.6225
2Y,-0.7635,-0.909,-0.7306,-0.685,-0.671,-0.873,-0.7393,-0.6703,-0.695,-0.6334,-0.6607,-0.6007,-0.6404,-0.7058,-0.6355,-0.6393,-0.6249,-0.54,-0.5395,-0.5764,-0.5282,-0.5525,-0.508,-0.482
3Y,-0.722,-0.867,-0.703,-0.671,-0.654,-0.858,-0.735,-0.654,-0.681,-0.5925,-0.5817,-0.525,-0.5492,-0.64,-0.5483,-0.5492,-0.5475,-0.4375,-0.4183,-0.4825,-0.415,-0.4425,-0.3958,-0.3541
4Y,-0.6236,-0.7868,-0.641,-0.619,-0.615,-0.82,-0.715,-0.624,-0.6415,-0.5392,-0.48,-0.4275,-0.4325,-0.5575,-0.4458,-0.445,-0.455,-0.33,-0.3075,-0.3783,-0.3025,-0.33,-0.2848,-0.2416
5Y,-0.518,-0.693,-0.558,-0.539,-0.546,-0.76,-0.678,-0.579,-0.601,-0.4717,-0.3692,-0.3192,-0.3108,-0.455,-0.3375,-0.3292,-0.355,-0.22,-0.1775,-0.2733,-0.19,-0.225,-0.1789,-0.1408
S7Y,-0.2764,-0.4678,-0.377,-0.35,-0.375,-0.62,-0.557,-0.4597,-0.455,-0.3143,-0.1461,-0.1075,-0.0775,-0.2375,-0.1164,-0.125,-0.1421,-0.0125,0.0325,-0.067,0.0041,-0.0125,0.02,0.0449
10Y,0.0046,-0.206,-0.135,-0.092,-0.1266,-0.387,-0.3618,-0.299,-0.296,-0.1025,0.1033,0.1483,0.1983,0.0262,0.1413,0.1291,0.1254,0.2549,0.3408,0.1955,0.3109,0.2579,0.2774,0.2816
12Y,0.1325,-0.0775,-0.012,0.027,-0.015,-0.2825,-0.27,-0.21,-0.17,0.03,0.2125,0.2775,0.3375,0.17,0.2525,0.245,0.245,0.37,0.455,0.315,0.4138,0.3938,0.3963,0.3875
15Y,0.271,0.055,0.118,0.148,0.1125,-0.16,-0.16,-0.1125,-0.06,0.12,0.3475,0.4075,0.475,0.2913,0.38,0.39,0.39,0.4975,0.59,0.455,0.58,0.54,0.5363,0.525
20Y,0.4425,0.1975,0.255,0.268,0.2425,-0.0375,-0.0688,-0.0288,0.04,0.2325,0.43,0.525,0.5875,0.44,0.5075,0.5025,0.53,0.635,0.7125,0.58,0.6925,0.6738,0.6663,0.6475